acao,leg_passivo,leg_passivo_tipo,leg_passivo_fed
ADI 48,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 179,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 180,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 181,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 191,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 192,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 303,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 303,GOVERNADOR DO ESTADO DO RIO GRANDE DO SUL,e,rs
ADI 409,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 546,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 578,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 578,GOVERNADOR DO ESTADO DO RIO GRANDE DO SUL,e,rs
ADI 602,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 602,TRIBUNAL DE JUSTICA DO ESTADO DO RIO GRANDE DO SUL,j,rs
ADI 603,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 636,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 636,GOVERNADOR DO ESTADO DO RIO GRANDE DO SUL,e,rs
ADI 656,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 656,GOVERNADOR DO ESTADO DO RIO GRANDE DO SUL,e,rs
ADI 657,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 724,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 748,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 754,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 775,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 776,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 820,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 821,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 854,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 856,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 872,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 873,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 875,CONGRESSO NACIONAL,l,u
ADI 875,PRESIDENTE DA REPUBLICA,e,u
ADI 892,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 895,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 927,CONGRESSO NACIONAL,l,u
ADI 927,PRESIDENTE DA REPUBLICA,e,u
ADI 1001,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 1060,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 1077,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 1132,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 1144,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 1178,PRESIDENTE DA REPUBLICA,e,u
ADI 1308,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 1308,GOVERNADOR DO ESTADO DO RIO GRANDE DO SUL,e,rs
ADI 1333,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 1504,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 1743,SENADO FEDERAL,l,u
ADI 1824,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 1949,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 1949,GOVERNADOR DO ESTADO DO RIO GRANDE DO SUL,e,rs
ADI 1978,ASSEMBLEIA LEGISLATIVA DO ESTADO DE SAO PAULO,l,sp
ADI 1978,GOVERNADOR DO ESTADO DE SAO PAULO,e,sp
ADI 1979,GOVERNADOR DO ESTADO DE SANTA CATARINA,e,sc
ADI 1999,GOVERNADOR DO ESTADO DE SAO PAULO,e,sp
ADI 2021,ASSEMBLEIA LEGISLATIVA DO ESTADO DE SAO PAULO,l,sp
ADI 2021,GOVERNADOR DO ESTADO DE SAO PAULO,e,sp
ADI 2037,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2037,GOVERNADOR DO ESTADO DO RIO GRANDE DO SUL,e,rs
ADI 2063,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2063,GOVERNADOR DO ESTADO DO RIO GRANDE DO SUL,e,rs
ADI 2072,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2095,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2095,GOVERNADOR DO ESTADO DO RIO GRANDE DO SUL,e,rs
ADI 2097,GOVERNADOR DO ESTADO DO PARANA,e,pr
ADI 2100,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2115,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2216,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2217,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2294,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2295,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2296,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2297,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2298,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2299,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2300,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2301,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2302,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2303,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2304,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2405,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2442,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2443,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2444,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2466,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2472,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2528,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2544,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2544,GOVERNADOR DO ESTADO DO RIO GRANDE DO SUL,e,rs
ADI 2582,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2583,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2619,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2662,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2663,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2676,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2680,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2686,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2717,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2718,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2798,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2799,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2800,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2801,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2802,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2803,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2804,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2805,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2806,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2807,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2808,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2809,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2810,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2811,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2811,GOVERNADOR DO ESTADO DO RIO GRANDE DO SUL,e,rs
ADI 2812,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 2813,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 3037,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 3037,GOVERNADOR DO ESTADO DO RIO GRANDE DO SUL,e,rs
ADI 3282,JUSTICA DO TRABALHO,j,rs
ADI 3459,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 3538,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 3538,ASSOCIAÇÃO DOS SERVIDORES DA JUSTICA DO ESTADO DO RIO GRANDE DO SUL,NA,NA
ADI 3539,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 3543,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 3718,TRIBUNAL DE JUSTICA DO ESTADO DO RIO GRANDE DO SUL,j,rs
ADI 4167,CONGRESSO NACIONAL,l,u
ADI 4167,PRESIDENTE DA REPUBLICA,e,u
ADI 4548,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 4582,CONGRESSO NACIONAL,l,u
ADI 4582,PRESIDENTE DA REPUBLICA,e,u
ADI 4848,CONGRESSO NACIONAL,l,u
ADI 4848,PRESIDENTE DA REPUBLICA,e,u
ADI 4884,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 5562,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 6072,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADI 7191,CONGRESSO NACIONAL,l,u
ADI 7191,PRESIDENTE DA REPUBLICA,e,u
ADI 7195,CONGRESSO NACIONAL,l,u
ADI 7195,PRESIDENTE DA REPUBLICA,e,u
ADI 7435,CONSELHO NACIONAL DE JUSTICA,j,u
ADPF 7,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADPF 9,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADPF 37,ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL,l,rs
ADPF 486,JUSTICA DO TRABALHO,j,rs
ADPF 564,CONSELHO NACIONAL DE JUSTICA,j,u
ADPF 564,CONSELHO NACIONAL DO MINISTERIO PUBLICO,j,u
ADPF 564,MINISTERIO PUBLICO DO ESTADO DO RIO GRANDE DO SUL,j,rs
ADPF 564,TRIBUNAL DE JUSTICA DO ESTADO DO RIO GRANDE DO SUL,j,rs
ADPF 820,TRIBUNAL DE JUSTICA DO ESTADO DO RIO GRANDE DO SUL,j,rs
ADPF 829,PRESIDENTE DA REPUBLICA,e,u
ADPF 848,SENADO FEDERAL,l,u
